H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
0,0,0,0,8,2,1.000,大竹　耕太郎,3,4,13,0,0,2020,福岡ソフトバンク,60,15,0,0,1,0,0,3,4,2.30
3,4,0,0,17,1,1.000,津森　宥紀,8,5,15,0,0,2020,福岡ソフトバンク,72,16,0,1,2,1,0,14,5,2.76
0,0,0,0,28,4,.444,二保　旭,24,40,63,0,0,2020,福岡ソフトバンク,256,56,5,1,5,6,0,12,31,4.92
0,0,0,0,102,9,.818,東浜　巨,49,32,83,0,0,2020,福岡ソフトバンク,479,119,2,2,10,2,0,19,31,2.34
10,10,0,0,20,0,.000,岩嵜　翔,6,12,19,0,0,2020,福岡ソフトバンク,70,15,2,0,3,1,0,17,12,7.20
0,0,0,0,23,2,.500,武田　翔太,14,19,34,0,0,2020,福岡ソフトバンク,121,25,2,2,7,1,0,7,18,6.48
26,28,8,0,73,2,.286,甲斐野　央,34,28,49,0,0,2019,福岡ソフトバンク,253,58,5,3,6,4,0,65,27,4.14
0,0,0,0,75,8,.889,和田　毅,31,30,66,0,0,2020,福岡ソフトバンク,346,85,1,1,7,1,0,16,28,2.94
0,0,0,0,0,0,.000,田中　正義,2,0,1,0,0,2019,福岡ソフトバンク,5,0,0,0,0,0,0,1,0,0.00
23,27,0,0,29,4,.667,高橋　礼,24,17,42,0,0,2020,福岡ソフトバンク,220,51,2,1,2,9,0,52,15,2.65
0,1,0,0,103,11,.786,石川　柊太,41,32,68,1,2,2020,福岡ソフトバンク,443,111,3,0,9,12,0,18,30,2.42
1,2,0,0,13,1,.500,椎野　新,5,7,12,0,0,2020,福岡ソフトバンク,49,11,1,1,1,0,0,12,7,5.73
38,40,1,0,77,2,.400,Ｌ．モイネロ,25,9,26,0,0,2020,福岡ソフトバンク,193,48,3,0,1,2,0,50,9,1.69
1,1,1,0,66,2,.222,Ｎ．マルティネス,40,44,76,0,0,2020,北海道日本ハム,344,76,7,8,8,3,0,17,39,4.62
6,7,32,0,40,1,.500,森　唯斗,13,14,39,0,0,2020,福岡ソフトバンク,205,51,1,0,4,2,0,52,13,2.28
0,0,0,0,2,0,.000,尾形　崇斗,3,3,2,0,0,2020,福岡ソフトバンク,8,1,0,0,0,0,0,1,3,27.00
1,1,0,0,22,0,.000,杉山　一樹,6,5,15,0,0,2020,福岡ソフトバンク,69,16,0,1,1,0,0,11,4,2.16
0,0,0,0,149,11,.647,千賀　滉大,57,37,90,0,1,2020,福岡ソフトバンク,503,121,6,5,4,2,0,18,29,2.16
17,20,0,0,58,3,.600,髙橋　純平,17,17,36,0,0,2019,福岡ソフトバンク,205,51,2,2,4,5,0,45,15,2.65
0,0,0,0,1,0,.000,渡邉　雄大,1,0,0,0,0,2020,福岡ソフトバンク,6,1,0,0,0,0,0,3,0,0.00
0,0,0,0,9,0,.000,古谷　優人,6,3,5,0,0,2020,福岡ソフトバンク,29,5,0,1,0,0,0,4,2,3.18
2,4,0,0,29,2,.500,板東　湧梧,10,9,26,0,0,2020,福岡ソフトバンク,129,31,2,0,4,0,0,15,9,2.56
8,8,0,0,28,0,.000,泉　圭輔,19,9,26,0,0,2020,福岡ソフトバンク,143,34,1,1,1,1,0,40,8,2.08
0,0,0,0,6,0,.000,田浦　文丸,6,5,8,0,0,2019,福岡ソフトバンク,41,10,0,0,1,0,0,8,5,4.50
18,21,0,0,33,3,.750,嘉弥真　新也,10,7,18,0,0,2020,福岡ソフトバンク,117,30,1,0,1,2,0,50,7,2.10
0,1,5,0,9,1,1.000,Ｄ．サファテ,3,2,4,0,0,2018,福岡ソフトバンク,25,6,0,0,0,0,0,6,2,3.00
0,0,0,1,7,0,.000,奥村　政稔,3,1,3,0,0,2020,福岡ソフトバンク,20,4,0,0,0,2,0,5,1,2.08
4,4,0,0,15,0,.000,川原　弘之,14,5,12,0,0,2020,福岡ソフトバンク,79,18,0,2,0,3,0,22,4,2.00
6,6,0,0,27,0,.000,松本　裕樹,19,11,20,0,0,2020,福岡ソフトバンク,120,28,1,2,4,0,0,25,11,3.49
0,1,0,0,67,4,.500,笠谷　俊介,31,21,44,0,0,2020,福岡ソフトバンク,246,57,4,0,2,4,0,20,18,2.84
0,0,0,0,5,0,.000,佐々木　千隼,2,4,7,0,0,2020,千葉ロッテ,23,4,0,1,1,1,0,5,4,8.31
0,0,0,0,77,7,.538,石川　歩,26,65,138,0,0,2020,千葉ロッテ,555,133,6,3,19,4,0,21,63,4.25
0,0,0,0,88,10,.714,美馬　学,25,62,130,0,1,2020,千葉ロッテ,517,123,4,3,9,0,1,19,54,3.95
0,0,0,0,41,3,.600,種市　篤暉,15,18,43,1,1,2020,千葉ロッテ,198,46,2,0,7,5,0,7,18,3.47
0,0,0,0,79,9,.750,二木　康太,12,36,72,1,1,2020,千葉ロッテ,361,92,3,3,7,3,1,15,35,3.40
14,15,0,0,23,1,.500,唐川　侑己,9,4,22,0,0,2020,千葉ロッテ,118,30,1,0,1,0,0,32,4,1.19
5,6,0,0,26,1,.500,東條　大樹,12,10,25,0,0,2020,千葉ロッテ,121,28,1,0,3,4,0,39,8,2.54
1,1,0,0,4,0,.000,東妻　勇輔,14,5,10,0,0,2020,千葉ロッテ,69,15,0,0,2,0,0,13,5,3.00
0,0,0,0,7,0,.000,山本　大貴,6,4,11,0,0,2020,千葉ロッテ,54,13,0,0,1,0,0,12,4,2.63
3,3,0,0,3,0,.000,松永　昂大,3,0,3,0,0,2020,千葉ロッテ,15,3,0,0,0,0,0,5,0,0.00
5,5,2,0,64,2,.400,西野　勇士,23,23,56,1,1,2019,千葉ロッテ,277,70,3,1,6,0,0,37,23,2.96
2,2,0,0,19,0,.000,石崎　剛,15,14,12,0,0,2020,千葉ロッテ,69,14,1,1,2,0,0,12,14,9.00
0,0,0,0,6,0,.000,南　昌輝,5,4,5,0,0,2020,千葉ロッテ,32,7,0,1,2,0,0,6,4,4.91
0,0,0,0,28,1,1.000,土肥　星也,12,12,35,0,0,2019,千葉ロッテ,137,31,0,1,4,0,0,6,11,3.13
0,0,0,0,5,1,.500,有吉　優樹,2,6,15,0,0,2020,千葉ロッテ,49,11,1,0,1,0,0,3,6,4.91
4,6,0,0,32,2,.500,小野　郁,18,18,31,0,0,2020,千葉ロッテ,162,39,2,0,2,1,0,40,14,3.23
0,0,0,0,3,0,.000,成田　翔,0,6,5,0,0,2020,千葉ロッテ,15,3,0,0,2,1,0,3,6,18.00
23,26,1,0,37,3,.600,Ｆ．ハーマン,12,9,28,0,0,2020,千葉ロッテ,149,37,2,4,2,0,0,38,9,2.15
0,0,0,1,83,7,.467,小島　和哉,47,50,106,0,0,2020,千葉ロッテ,479,113,8,0,12,3,0,20,47,3.73
0,1,0,1,74,7,.500,岩下　大輝,35,44,98,0,0,2020,千葉ロッテ,393,90,7,4,11,3,0,17,42,4.20
2,3,0,0,8,1,1.000,田中　靖洋,4,2,5,0,0,2020,千葉ロッテ,30,7,0,0,1,0,0,8,2,2.45
0,0,0,0,40,2,.286,中村　稔弥,31,41,61,0,0,2020,千葉ロッテ,278,64,5,4,11,0,0,16,34,4.78
5,8,31,0,53,3,.375,益田　直也,17,15,42,0,0,2020,千葉ロッテ,214,52,5,4,1,2,0,54,13,2.25
0,0,0,0,14,0,.000,永野　将司,13,9,16,0,0,2020,千葉ロッテ,73,15,0,2,0,0,0,13,9,5.40
0,0,0,0,9,0,.000,大嶺　祐太,6,9,15,0,0,2020,千葉ロッテ,45,9,1,0,1,0,0,2,9,9.00
0,0,0,0,7,0,.000,古谷　拓郎,7,3,6,0,0,2020,千葉ロッテ,30,6,1,3,1,1,0,2,3,4.26
1,3,0,0,25,2,.500,Ｊ．フローレス,16,19,27,0,0,2020,千葉ロッテ,108,22,2,2,3,0,0,14,19,7.66
0,1,0,0,44,3,.429,今井　達也,52,49,72,0,0,2020,埼玉西武,310,61,4,2,5,5,0,19,42,6.13
0,0,0,0,100,8,.500,髙橋　光成,44,51,100,1,1,2020,埼玉西武,501,120,8,6,9,7,0,20,50,3.74
1,6,33,0,42,5,1.000,増田　達至,10,11,41,0,0,2020,埼玉西武,196,49,0,0,3,2,0,48,11,2.02
13,15,0,0,45,2,.667,宮川　哲,29,21,40,0,0,2020,埼玉西武,202,44,1,3,1,1,0,49,19,3.83
0,0,0,0,2,0,.000,松坂　大輔,2,10,12,0,0,2019,中　日,32,5,1,0,0,3,0,2,10,16.88
0,0,0,0,66,6,.462,松本　航,56,55,89,0,0,2020,埼玉西武,452,103,7,2,19,2,0,20,50,4.37
0,0,0,0,23,3,.500,浜屋　将太,21,30,48,0,0,2020,埼玉西武,217,50,3,1,7,3,0,12,28,4.97
0,1,0,0,13,1,.333,十亀　剣,13,21,30,0,0,2020,埼玉西武,117,24,2,4,5,3,0,8,20,7.50
7,11,0,0,53,5,.500,平井　克典,23,35,60,0,0,2020,埼玉西武,260,60,5,3,3,1,0,41,28,4.18
0,0,0,0,12,1,.333,内海　哲也,6,12,18,0,0,2020,埼玉西武,83,19,2,0,3,1,0,4,9,4.26
16,23,1,1,41,7,.875,森脇　亮介,20,8,22,0,0,2020,埼玉西武,178,46,1,1,3,1,0,47,7,1.35
3,5,0,0,13,2,.667,小川　龍也,14,6,22,0,0,2020,埼玉西武,109,25,1,2,1,1,0,38,6,2.10
0,0,0,0,9,1,.500,榎田　大樹,6,14,26,0,0,2020,埼玉西武,103,24,1,0,4,1,0,5,14,5.25
16,19,0,0,45,3,.600,Ｒ．ギャレット,20,20,52,0,0,2020,埼玉西武,220,49,2,1,2,3,0,49,17,3.10
0,0,0,0,1,0,.000,佐野　泰雄,2,1,9,0,0,2020,埼玉西武,30,6,0,1,1,0,0,8,1,1.35
0,0,0,0,18,0,.000,伊藤　翔,16,13,30,0,0,2020,埼玉西武,128,28,2,6,3,0,0,12,13,4.08
0,0,0,0,27,0,.000,田村　伊知郎,16,20,47,0,0,2020,埼玉西武,181,41,0,4,4,2,0,31,18,3.95
0,0,0,0,1,0,.000,吉川　光夫,4,2,5,0,0,2020,北海道日本ハム,24,5,0,1,0,0,0,5,2,3.38
0,0,0,0,18,2,.333,與座　海人,13,23,47,0,0,2020,埼玉西武,169,38,4,0,5,2,0,8,23,5.45
0,0,0,0,24,1,.200,本田　圭佑,13,17,35,0,0,2020,埼玉西武,149,35,4,1,6,0,0,7,16,4.08
0,0,0,0,0,0,.000,松岡　洸希,2,3,5,0,0,2020,埼玉西武,12,2,0,0,0,0,0,2,3,13.50
0,0,0,0,4,0,.000,武隈　祥太,7,11,9,0,0,2020,埼玉西武,28,3,0,0,0,0,0,3,9,22.09
0,0,0,0,5,0,.000,中塚　駿太,4,4,8,0,0,2020,埼玉西武,33,7,0,0,0,0,0,6,4,5.14
0,0,0,0,66,6,.429,Ｚ．ニール,35,68,125,0,0,2020,埼玉西武,485,112,8,0,13,8,0,21,65,5.22
0,0,0,0,3,0,.000,齊藤　大将,7,12,15,0,0,2020,埼玉西武,51,10,1,1,2,1,0,7,11,9.90
33,34,1,0,62,1,1.000,平良　海馬,29,11,22,0,0,2020,埼玉西武,214,53,0,5,2,8,0,54,11,1.87
0,0,0,0,0,0,.000,粟津　凱士,1,2,4,0,0,2019,埼玉西武,10,2,0,0,0,0,0,1,2,9.00
0,0,0,0,6,0,.000,木村　文紀,7,7,13,0,0,2012,埼玉西武,59,14,0,3,0,0,0,8,7,4.50
0,0,0,0,37,1,.143,多和田　真三郎,25,47,84,1,1,2019,埼玉西武,306,66,6,3,8,6,0,12,43,5.83
8,9,2,0,82,4,.444,松井　裕樹,28,25,56,0,0,2020,東北楽天,286,68,5,4,5,3,0,25,24,3.18
0,0,0,0,70,7,1.000,岸　孝之,20,24,48,1,2,2020,東北楽天,269,67,0,0,5,1,0,11,24,3.21
2,3,4,0,14,1,.333,森原　康平,7,14,23,0,0,2020,東北楽天,81,16,2,1,4,1,0,17,14,7.56
0,0,0,0,105,5,.417,則本　昂大,34,56,110,0,0,2020,東北楽天,475,109,7,3,13,5,0,18,48,3.96
0,0,0,0,110,11,.733,涌井　秀章,38,53,110,1,1,2020,東北楽天,529,130,4,3,17,3,0,20,52,3.60
0,0,0,0,63,4,.333,塩見　貴洋,20,45,88,0,0,2020,東北楽天,350,84,8,1,10,1,0,16,45,4.80
0,0,1,0,183,24,1.000,田中　将大,32,35,168,2,8,2013,東北楽天,822,212,0,9,6,3,1,28,30,1.27
0,0,0,0,0,0,.000,藤平　尚真,0,2,1,0,0,2020,東北楽天,2,,0,0,0,1,0,1,2,----
5,6,0,0,30,1,1.000,安樂　智大,17,12,24,0,0,2020,東北楽天,131,31,0,1,2,0,0,27,12,3.48
22,24,2,0,33,2,.500,牧田　和久,12,15,39,0,0,2020,東北楽天,197,50,2,1,5,0,0,52,12,2.16
0,0,0,0,34,3,.600,弓削　隼人,20,34,57,0,0,2020,東北楽天,229,50,2,2,9,3,0,10,28,5.01
12,15,0,0,34,3,.600,酒居　知史,18,20,38,0,0,2020,東北楽天,188,44,2,1,4,3,0,46,18,3.65
4,4,0,0,24,1,.167,池田　隆英,21,33,60,0,0,2018,東北楽天,206,42,5,5,4,0,0,15,28,5.91
0,0,0,0,18,0,.000,福井　優也,14,18,26,0,0,2020,東北楽天,128,29,4,0,2,2,0,7,18,5.46
13,14,18,0,32,1,.200,Ａ．ブセニッツ,18,16,46,0,0,2020,東北楽天,195,44,4,4,2,1,0,46,14,2.86
0,0,0,0,4,0,.000,釜田　佳直,4,5,9,0,0,2020,東北楽天,26,3,0,0,0,1,0,4,4,9.82
10,11,0,0,29,1,.333,宋　家豪,17,29,35,0,0,2020,東北楽天,162,36,2,2,7,1,0,38,28,6.94
0,0,0,0,3,0,.000,渡邊　佑樹,2,0,0,0,0,2019,東北楽天,5,1,0,0,0,0,0,1,0,0.00
1,2,0,0,24,1,.500,津留﨑　大成,18,17,30,0,0,2020,東北楽天,147,34,1,2,1,1,0,33,16,4.19
0,0,0,0,7,0,.000,髙田　萌生,2,3,7,0,0,2019,読　売,22,5,0,0,0,0,0,2,3,5.40
0,0,0,0,1,0,.000,鈴木　翔天,1,2,2,0,0,2020,東北楽天,8,1,0,0,1,2,0,2,2,13.50
0,0,0,0,29,2,.667,瀧中　瞭太,15,18,34,0,0,2020,東北楽天,182,45,1,1,1,3,0,8,17,3.40
2,2,1,0,26,1,.250,辛島　航,15,22,43,0,0,2020,東北楽天,170,38,3,2,6,3,0,19,21,4.93
0,0,0,1,21,1,.250,菅原　秀,20,19,35,0,0,2019,東北楽天,160,35,3,2,1,4,0,9,16,4.08
0,0,0,1,46,1,.143,石橋　良太,28,43,72,0,0,2020,東北楽天,285,63,6,2,9,4,0,13,43,6.11
0,0,0,0,3,0,.000,西口　直人,1,2,5,0,0,2018,東北楽天,29,7,0,0,1,0,0,1,2,2.35
6,6,0,0,8,0,.000,福山　博之,5,1,12,0,0,2020,東北楽天,49,12,0,0,1,0,0,14,1,0.75
10,12,0,0,14,2,.667,寺岡　寛治,11,7,15,0,0,2020,東北楽天,88,20,1,2,0,2,0,24,7,3.15
0,1,0,0,13,1,1.000,池田　駿,7,8,21,0,0,2020,東北楽天,77,16,0,0,0,0,0,21,8,4.32
0,0,0,0,9,0,.000,森　雄大,11,6,17,0,0,2018,東北楽天,80,19,0,1,2,0,0,9,5,2.37
0,0,0,0,12,0,.000,斎藤　佑樹,8,12,19,0,0,2019,北海道日本ハム,87,21,2,2,1,0,0,11,11,4.71
0,0,0,0,5,0,.000,生田目　翼,3,6,9,0,0,2020,北海道日本ハム,29,6,1,2,1,0,0,3,5,7.50
1,4,0,0,51,4,.667,加藤　貴之,23,23,57,0,0,2020,北海道日本ハム,249,58,2,1,4,2,0,28,21,3.26
0,0,0,0,90,8,.571,上沢　直之,38,40,85,0,1,2020,北海道日本ハム,411,97,6,4,6,1,0,15,33,3.06
0,0,0,0,11,0,.000,吉田　輝星,12,22,26,0,0,2020,北海道日本ハム,99,20,2,0,2,1,0,5,19,8.41
1,2,0,0,47,1,.250,金子　弌大,17,29,49,0,0,2020,北海道日本ハム,199,44,3,1,5,2,0,34,25,5.11
0,0,0,0,28,1,.250,上原　健太,12,20,37,0,0,2020,北海道日本ハム,149,34,3,3,3,0,0,7,17,4.46
21,23,8,0,53,2,.667,宮西　尚生,22,12,34,0,0,2020,北海道日本ハム,197,48,1,1,4,4,0,50,11,2.05
0,0,0,0,43,3,.375,河野　竜生,30,40,63,0,0,2020,北海道日本ハム,269,60,5,1,9,3,0,12,34,5.07
2,3,0,0,18,1,1.000,井口　和朋,8,14,27,0,0,2020,北海道日本ハム,113,26,0,0,5,2,0,29,12,4.10
5,6,0,0,23,1,.500,村田　透,12,16,38,0,0,2020,北海道日本ハム,161,38,1,0,3,3,0,21,15,3.55
14,16,1,0,45,2,.667,堀　瑞輝,22,20,30,0,0,2020,北海道日本ハム,173,38,1,0,2,6,0,45,18,4.19
0,0,0,0,29,0,.000,西村　天裕,14,14,23,0,0,2020,北海道日本ハム,115,25,0,0,4,2,0,16,13,4.56
0,0,0,0,115,8,.571,Ｄ．バーヘイゲン,29,45,91,1,1,2020,北海道日本ハム,454,111,6,4,7,6,1,18,40,3.22
4,5,12,0,28,1,.333,秋吉　亮,11,21,30,0,0,2020,北海道日本ハム,131,29,2,0,6,0,0,33,21,6.37
2,2,0,0,27,0,.000,福田　俊,14,12,29,0,0,2020,北海道日本ハム,132,30,0,1,4,0,0,30,11,3.26
3,3,0,0,9,0,.000,Ｂ．ロドリゲス,3,2,7,0,0,2020,北海道日本ハム,34,8,0,1,0,0,0,7,2,2.25
0,0,0,0,1,0,.000,田中　瑛斗,1,2,2,0,0,2019,北海道日本ハム,9,2,1,1,0,0,0,1,2,9.00
0,0,0,0,11,0,.000,鈴木　健矢,7,10,15,0,0,2020,北海道日本ハム,55,11,1,0,0,0,0,11,10,7.94
8,8,1,0,19,0,.000,公文　克彦,11,24,33,0,0,2020,北海道日本ハム,116,24,2,0,3,0,0,29,21,7.88
21,24,5,0,75,3,.600,石川　直也,16,20,39,0,0,2019,北海道日本ハム,220,54,2,3,6,1,0,60,20,3.31
4,4,0,0,24,1,.167,池田　隆英,21,33,60,0,0,2018,東北楽天,206,42,5,5,4,0,0,15,28,5.91
21,25,1,0,29,4,.500,玉井　大翔,18,17,36,0,0,2020,北海道日本ハム,175,41,4,3,5,1,0,49,16,3.46
0,1,1,0,68,7,.583,杉浦　稔大,37,29,59,0,0,2020,北海道日本ハム,319,74,5,2,6,1,0,17,26,3.13
0,0,0,0,1,0,.000,望月　大希,0,0,1,0,0,2020,北海道日本ハム,8,2,0,0,0,0,0,2,0,0.00
0,0,0,0,0,0,.000,北浦　竜次,3,7,9,0,0,2020,北海道日本ハム,22,3,1,0,0,0,0,3,6,16.20
0,0,0,0,3,0,.000,鈴木　遼太郎,1,0,2,0,0,2019,北海道日本ハム,9,2,0,0,0,0,0,1,0,0.00
0,0,0,0,46,5,.500,山﨑　福也,33,45,71,0,0,2020,オリックス,347,84,5,0,12,2,0,15,42,4.50
0,0,0,0,16,1,.500,宮城　大弥,6,8,19,0,0,2020,オリックス,73,16,1,1,0,1,0,3,7,3.94
0,1,1,0,34,1,.500,吉田　一将,12,17,38,0,0,2020,オリックス,153,35,1,2,3,1,0,23,16,4.08
3,3,0,0,21,0,.000,荒西　祐大,11,18,31,0,0,2020,オリックス,135,31,0,1,6,2,0,29,17,4.88
8,11,29,0,47,3,.300,平野　佳寿,16,19,57,0,0,2017,オリックス,240,57,7,2,5,1,0,58,17,2.67
5,5,0,0,29,2,.500,増井　浩俊,20,13,27,0,0,2020,オリックス,153,35,2,1,3,1,0,16,12,3.03
0,0,0,0,149,8,.667,山本　由伸,37,34,82,0,1,2020,オリックス,494,126,4,1,6,6,1,18,31,2.20
0,0,0,0,64,4,.444,山岡　泰輔,21,22,68,0,1,2020,オリックス,284,69,5,3,7,2,0,12,20,2.60
0,0,0,0,3,1,1.000,竹安　大知,5,5,8,0,0,2020,オリックス,40,9,0,0,0,1,0,2,3,3.00
0,0,0,0,5,0,.000,村西　良太,10,8,6,0,0,2020,オリックス,39,8,1,0,2,0,0,4,8,9.00
4,5,1,0,19,1,1.000,能見　篤史,12,14,25,0,0,2020,阪　神,109,24,0,1,6,1,0,34,13,4.74
3,3,0,0,15,0,.000,富山　凌雅,10,9,14,0,0,2020,オリックス,77,18,2,0,3,1,0,18,9,4.42
0,0,0,0,89,4,.400,田嶋　大樹,42,57,102,1,1,2020,オリックス,512,122,6,2,14,7,0,20,55,4.05
1,1,0,0,10,0,.000,Ｋ－鈴木,14,17,23,0,0,2020,オリックス,78,13,2,0,4,1,0,8,16,10.54
5,5,16,0,32,0,.000,Ｂ．ディクソン,16,15,34,0,0,2020,オリックス,152,35,4,2,2,1,0,39,13,3.28
9,9,0,0,11,0,.000,比嘉　幹貴,5,1,5,0,0,2020,オリックス,49,12,0,0,1,1,0,20,1,0.71
0,1,0,0,5,1,1.000,飯田　優也,1,7,11,0,0,2020,オリックス,24,4,0,1,0,0,0,4,7,15.75
0,0,0,0,2,0,.000,本田　仁海,4,7,8,0,0,2020,オリックス,24,4,1,0,0,0,0,1,3,6.75
2,2,0,0,4,0,.000,海田　智行,1,7,8,0,0,2020,オリックス,22,4,1,0,0,0,0,6,7,14.54
4,5,0,0,23,1,.500,齋藤　綱記,8,11,24,0,0,2020,オリックス,105,24,1,1,3,1,0,32,11,4.01
0,0,0,0,24,0,.000,澤田　圭佑,8,10,16,0,0,2020,オリックス,87,21,2,0,5,0,0,24,8,3.43
19,22,0,0,45,3,.500,Ｔ．ヒギンス,20,11,37,0,0,2020,オリックス,175,41,3,1,2,0,0,41,11,2.40
17,18,0,0,26,1,.500,黒木　優太,12,17,37,0,0,2018,オリックス,145,34,1,1,3,0,0,39,17,4.50
18,22,0,0,44,4,.444,山田　修義,19,20,37,0,0,2020,オリックス,170,39,5,0,1,0,0,48,17,3.89
0,0,0,0,7,0,.000,金田　和之,7,6,10,0,0,2020,オリックス,39,8,0,0,1,0,0,6,6,6.48
0,0,0,0,31,1,.200,榊原　翼,39,26,44,0,0,2020,オリックス,206,43,4,2,5,1,0,9,25,5.19
5,5,2,0,30,0,.000,漆原　大晟,13,9,20,0,0,2020,オリックス,102,23,0,0,2,1,0,22,9,3.42
7,9,0,0,33,2,.500,吉田　凌,15,7,15,0,0,2020,オリックス,118,29,2,3,1,2,0,35,7,2.17
2,2,1,0,41,1,.250,鈴木　優,29,29,30,0,0,2020,オリックス,173,38,3,1,6,1,0,13,28,6.52
1,1,0,0,5,0,.000,神戸　文也,7,7,9,0,0,2020,オリックス,33,5,1,0,0,0,0,5,6,9.53
0,0,0,1,46,2,.333,張　奕,16,26,50,0,0,2020,オリックス,212,48,4,1,5,2,0,13,23,4.31
22,26,1,0,61,4,.400,近藤　大亮,22,19,39,0,0,2019,オリックス,209,49,6,3,4,1,0,52,19,3.44
